#Sample description: chromixs
#Sample: chromixs  c= 0 mg/ml  Code: chromixs
 4.500000e-003  3.138518e-002  1.975124e-003
 4.630646e-003  3.723114e-002  1.921469e-003
 4.761293e-003  3.451181e-002  1.725452e-003
 4.891939e-003  3.418822e-002  1.573880e-003
 5.022586e-003  3.407256e-002  1.541916e-003
 5.153232e-003  3.553428e-002  1.361399e-003
 5.283879e-003  3.307340e-002  1.323840e-003
 5.414525e-003  3.622972e-002  1.230869e-003
 5.545171e-003  3.596647e-002  1.120298e-003
 5.675818e-003  3.463338e-002  1.113020e-003
 5.806464e-003  3.336821e-002  1.043667e-003
 5.937111e-003  3.369418e-002  9.833263e-004
 6.067757e-003  3.497663e-002  9.604921e-004
 6.198403e-003  3.396606e-002  8.718124e-004
 6.329050e-003  3.332023e-002  8.631228e-004
 6.459696e-003  3.448154e-002  8.386581e-004
 6.590343e-003  3.345617e-002  7.765363e-004
 6.720989e-003  3.330344e-002  7.669100e-004
 6.851635e-003  3.338356e-002  7.345891e-004
 6.982282e-003  3.379468e-002  7.091621e-004
 7.112928e-003  3.384461e-002  7.094043e-004
 7.243575e-003  3.347048e-002  6.620273e-004
 7.374221e-003  3.401587e-002  6.714781e-004
 7.504868e-003  3.415237e-002  6.458516e-004
 7.635514e-003  3.331076e-002  6.088927e-004
 7.766160e-003  3.260520e-002  6.105205e-004
 7.896807e-003  3.374188e-002  5.898379e-004
 8.027453e-003  3.355336e-002  5.874277e-004
 8.158100e-003  3.299062e-002  5.765466e-004
 8.288746e-003  3.317501e-002  5.373370e-004
 8.419392e-003  3.333004e-002  5.440077e-004
 8.550039e-003  3.380093e-002  5.330073e-004
 8.680685e-003  3.243572e-002  5.172855e-004
 8.811332e-003  3.239273e-002  5.243471e-004
 8.941978e-003  3.258281e-002  4.918339e-004
 9.072625e-003  3.309130e-002  4.994682e-004
 9.203271e-003  3.352463e-002  4.994771e-004
 9.333917e-003  3.232346e-002  4.689600e-004
 9.464564e-003  3.301903e-002  4.822880e-004
 9.595210e-003  3.312092e-002  4.635868e-004
 9.725857e-003  3.333203e-002  4.500636e-004
 9.856503e-003  3.310323e-002  4.549926e-004
 9.987150e-003  3.285626e-002  4.393214e-004
 1.011780e-002  3.220244e-002  4.446186e-004
 1.024844e-002  3.302078e-002  4.324321e-004
 1.037909e-002  3.325058e-002  4.161194e-004
 1.050973e-002  3.195821e-002  4.140691e-004
 1.064038e-002  3.255287e-002  4.071194e-004
 1.077103e-002  3.190696e-002  4.020415e-004
 1.090167e-002  3.174020e-002  4.008187e-004
 1.103232e-002  3.181956e-002  3.780928e-004
 1.116297e-002  3.217475e-002  3.826878e-004
 1.129361e-002  3.197042e-002  3.713847e-004
 1.142426e-002  3.187692e-002  3.630527e-004
 1.155491e-002  3.226700e-002  3.678478e-004
 1.168555e-002  3.286775e-002  3.571494e-004
 1.181620e-002  3.200980e-002  3.557565e-004
 1.194685e-002  3.229772e-002  3.572297e-004
 1.207749e-002  3.248915e-002  3.477837e-004
 1.220814e-002  3.200433e-002  3.497089e-004
 1.233879e-002  3.234453e-002  3.458981e-004
 1.246943e-002  3.189742e-002  3.349049e-004
 1.260008e-002  3.214152e-002  3.336682e-004
 1.273072e-002  3.197565e-002  3.208439e-004
 1.286137e-002  3.185015e-002  3.240376e-004
 1.299202e-002  3.190920e-002  3.184636e-004
 1.312266e-002  3.214707e-002  3.096801e-004
 1.325331e-002  3.148167e-002  3.049182e-004
 1.338396e-002  3.171392e-002  2.977437e-004
 1.351460e-002  3.197592e-002  2.989029e-004
 1.364525e-002  3.193295e-002  3.013705e-004
 1.377590e-002  3.168244e-002  2.898196e-004
 1.390654e-002  3.153008e-002  2.920213e-004
 1.403719e-002  3.186909e-002  2.895804e-004
 1.416784e-002  3.162440e-002  2.834799e-004
 1.429848e-002  3.133357e-002  2.851111e-004
 1.442913e-002  3.134963e-002  2.808440e-004
 1.455977e-002  3.162871e-002  2.792876e-004
 1.469042e-002  3.118129e-002  2.771132e-004
 1.482107e-002  3.158028e-002  2.707832e-004
 1.495171e-002  3.171566e-002  2.745808e-004
 1.508236e-002  3.151700e-002  2.725977e-004
 1.521301e-002  3.134429e-002  2.678068e-004
 1.534365e-002  3.123607e-002  2.679180e-004
 1.547430e-002  3.127711e-002  2.610805e-004
